ID	V1	V2	V3	V4	M1	M2	M3	M4	E1	E2	E3	E4	G1	G2	G3	G4
E0014	2	2	1	1	243	169	169	350 	127	322 	243	198	41	15	49	83
E0015	2	1	4	1	249	243	243	354 	247	319 	249	298	42	15	45	85
E0017	2	2	2	1	212	246	288	262 	238	325 	212	288	36	13	42	72
E0018	2	2	2	1	248	219	169	207 	224	302 	248	264	42	15	999	85
E0019	2	2	4	2	245	243	243	366 	114	165 	245	204	42	15	49	84
E0021	2	1	3	2	250	249	246	333 	145	321 	250	167	43	15	36	85
E0022	2	1	1	2	232	212	219	347 	209	309 	232	249	39	14	25	79
E0024	2	3	5	2	127	248	243	266 	165	291 	127	211	38	8	25	43
E0025	2	2	1	2	247	245	249	287 	246	148 	247	295 	42	15	49	84
E0027	2	2	5	1	238	250	212	370 	254	189 	238	357 	40	14	48	81
E0031	2	2	3	1	224	232	248	380 	232	293 	224	276 	999	13	45	76
E0032	2	3	4	1	114	127	245	350 	298	231 	114	373 	16	7	35	39
E0035	2	1	1	1	145	247	250	250 	232	344 	145	183 	25	9	999	49
E0037	2	2	2	1	209	238	232	357 	312	356 	209	366 	36	13	42	71
E0038	1	3	2	1	165	224	127	299 	132	325 	165	271 	28	10	33	56
E0039	1	1	3	1	246	114	247	348 	255	380 	246	179 	42	15	49	84
E0041	1	1	1	2	254	145	238	366 	276	251 	254	366 	43	15	51	87
E0042	1	1	4	2	232	209	224	301 	211	312 	232	271 	39	14	46	79
E0043	1	1	1	2	298	165	114	340 	169	380 	298	330 	51	18	72	76
E0045	1	2	1	2	232	246	145	357 	199	463 	232	333 	39	14	46	79
E0047	1	1	4	2	312	254	209	305 	176	254 	212	266 	53	19	62	88
E0049	2	3	1	2	132	232	165	271 	294	512 	132	351 	22	8	26	45
E0050	2	2	4	2	196	298	246	295 	296	292 	196	294 	33	12	39	67
E0051	2	2	4	1	211	232	254	252 	243	302 	211	306 	36	13	42	72
E0052	2	3	4	1	165	312	232	371 	246	246 	165	284 	28	10	33	56
E0056	2	1	4	1	135	132	298	373 	169	229 	135	235 	23	8	27	46
E0058	1	1	2	2	257	196	232	330 	243	496 	298	9999 	44	15	999	88
E0062	1	3	1	2	149	211	312	260 	288	367 	267	182 	25	9	30	51
E0063	1	3	4	2	119	165	132	271 	169	290 	169	255 	999	999	24	41
E0064	1	2	3	2	187	135	196	330 	243	513 	204	231 	32	11	37	64
E0070	1	3	1	2	146	257	211	366 	246	466 	198	286 	25	9	29	999
E0071	1	3	3	2	264	149	165	271 	219	486 	298	253 	45	16	53	90
E0072	1	3	3	2	266	119	135	330 	243	372 	288	347 	45	16	53	91
E0073	2	2	3	2	296	187	257	333 	249	402 	264	349 	50	18	59	92
E0074	2	1	1	2	289	146	149	311 	212	519 	204	213 	49	17	58	84
E0076	2	3	4	2	142	264	119	330 	248	324 	167	224 	24	9	28	48
E0078	2	1	2	1	241	266	187	273 	245	491 	249	250 	41	14	59	82
E0082	2	2	2	1	212	296	146	306 	250	349 	211	257 	36	13	42	72
E0083	2	1	5	1	243	289	264	334 	232	500 	198	306 	41	15	49	83
E0084	2	3	3	1	186	142	266	332 	127	419 	285	330 	32	11	46	63
E0090	1	3	4	1	146	241	296	336 	247	354 	166	285 	25	9	25	50
E0091	1	1	2	1	9999	212	289	322 	238	513 	9999	253 	24	9	28	48
E0093	1	1	2	1	258	243	142	238 	224	421 	188	250 	44	15	52	88
E0094	2	1	5	1	267	186	241	260 	114	476 	165	315 	45	16	53	91
E0098	2	3	3	1	134	146	212	326 	145	500 	135	227 	29	8	27	46
E0099	2	1	2	1	164	142	243	315 	209	427 	257	252 	34	10	33	56
E0100	2	3	3	1	129	258	186	227 	165	380 	149	303 	22	8	26	44
E0004	2	1	1	1	156	267	146	252 	246	413 	119	268 	33	9	31	53
E0005	2	1	2	1	320	134	142	303 	254	353 	187	333 	54	19	74	89
E0006	2	3	1	1	172	164	258	268 	232	520 	146	259 	34	10	34	59
E0008	2	1	2	2	165	129	267	333 	298	522 	264	322 	28	10	21	56
E0011	2	2	4	2	288	156	134	259 	232	336 	266	312 	49	17	58	98
E0012	2	2	1	2	177	320	164	322 	312	364 	296	322 	30	11	37	60
E0013	1	1	1	2	298	172	129	374 	132	380 	289	386 	51	18	60	86
E0015	1	2	1	2	267	165	156	322 	196	463 	142	242 	45	16	22	91
E0021	1	1	4	2	169	288	320	386 	211	312 	241	293 	29	10	34	58
E0022	1	3	1	1	204	177	172	242 	165	380 	212	305 	35	12	41	70
E0025	1	3	3	1	198	298	165	293 	135	463 	243	268 	39	12	40	68
E0027	1	1	4	1	298	267	288	305 	257	312 	186	9999 	51	18	60	68
E0031	1	2	2	1	288	169	177	268 	149	436 	146	182 	49	17	58	98
E0032	1	1	4	1	264	204	298	9999 	119	321 	142	255 	45	16	53	90
E0033	1	3	4	1	204	198	267	182 	187	333 	258	231 	35	12	41	70
E0035	1	3	3	1	167	298	169	255 	146	428 	267	286 	28	10	33	57
E0036	1	1	2	1	249	288	204	231 	264	468 	134	253 	42	999	50	85
E0038	1	2	1	1	211	264	198	286 	266	465 	164	347 	36	13	42	72
E0041	1	1	4	1	198	204	298	253 	296	325 	129	349 	34	12	40	68
E0042	1	3	5	1	285	167	288	347 	289	450 	156	213 	48	17	57	97
E0043	2	3	1	1	166	249	264	349 	125	333 	320	367 	28	10	33	57
E0045	2	3	2	1	195	211	204	213 	241	364 	172	250 	33	12	39	66
E0047	2	1	1	2	188	198	167	367 	212	457 	165	257 	32	11	38	64
E0049	2	1	3	2	301	285	249	250 	243	441 	288	306 	52	18	75	85
E0051	2	1	2	2	249	166	211	257 	186	318 	177	330 	45	15	50	85
E0052	2	1	2	2	273	195	198	306 	146	353 	298	285 	46	16	55	93
E0053	1	2	4	2	301	188	285	330 	142	248 	267	253 	51	18	64	79
E0055	1	3	2	1	201	301	166	285 	258	375 	169	250 	34	12	40	69
E0056	1	1	2	1	168	249	9999	253 	267	466 	204	342 	34	10	34	57
E0058	1	1	4	1	264	273	188	250 	134	325 	198	350 	45	16	53	90
E0059	1	3	5	2	222	210	301	342 	164	450 	298	325 	47	13	44	76
E0060	1	3	4	2	196	186	249	350 	129	352 	288	324 	33	12	39	67
E0169	2	3	4	2	251	222	245	325	128	212	115	245	42	25	32	54
